center,left,right,steering,throttle,brake,speed
/home/yunwu/Udacity/SelfDrivingCarEngineering/week09/001.projectbehvclone/project/data/IMG/center_2018_08_06_22_28_10_653.jpg,/home/yunwu/Udacity/SelfDrivingCarEngineering/week09/001.projectbehvclone/project/data/IMG/left_2018_08_06_22_28_10_653.jpg,/home/yunwu/Udacity/SelfDrivingCarEngineering/week09/001.projectbehvclone/project/data/IMG/right_2018_08_06_22_28_10_653.jpg,0,0,0,2.705534E-06
/home/yunwu/Udacity/SelfDrivingCarEngineering/week09/001.projectbehvclone/project/data/IMG/center_2018_08_06_22_28_10_726.jpg,/home/yunwu/Udacity/SelfDrivingCarEngineering/week09/001.projectbehvclone/project/data/IMG/left_2018_08_06_22_28_10_726.jpg,/home/yunwu/Udacity/SelfDrivingCarEngineering/week09/001.projectbehvclone/project/data/IMG/right_2018_08_06_22_28_10_726.jpg,0,0,0,1.612473E-06
/home/yunwu/Udacity/SelfDrivingCarEngineering/week09/001.projectbehvclone/project/data/IMG/center_2018_08_06_22_28_10_797.jpg,/home/yunwu/Udacity/SelfDrivingCarEngineering/week09/001.projectbehvclone/project/data/IMG/left_2018_08_06_22_28_10_797.jpg,/home/yunwu/Udacity/SelfDrivingCarEngineering/week09/001.projectbehvclone/project/data/IMG/right_2018_08_06_22_28_10_797.jpg,0,0,0,4.529558E-07
/home/yunwu/Udacity/SelfDrivingCarEngineering/week09/001.projectbehvclone/project/data/IMG/center_2018_08_06_22_28_10_869.jpg,/home/yunwu/Udacity/SelfDrivingCarEngineering/week09/001.projectbehvclone/project/data/IMG/left_2018_08_06_22_28_10_869.jpg,/home/yunwu/Udacity/SelfDrivingCarEngineering/week09/001.projectbehvclone/project/data/IMG/right_2018_08_06_22_28_10_869.jpg,0,0,0,1.313608E-05
/home/yunwu/Udacity/SelfDrivingCarEngineering/week09/001.projectbehvclone/project/data/IMG/center_2018_08_06_22_28_10_938.jpg,/home/yunwu/Udacity/SelfDrivingCarEngineering/week09/001.projectbehvclone/project/data/IMG/left_2018_08_06_22_28_10_938.jpg,/home/yunwu/Udacity/SelfDrivingCarEngineering/week09/001.projectbehvclone/project/data/IMG/right_2018_08_06_22_28_10_938.jpg,0,0,0,6.659978E-07
/home/yunwu/Udacity/SelfDrivingCarEngineering/week09/001.projectbehvclone/project/data/IMG/center_2018_08_06_22_28_11_006.jpg,/home/yunwu/Udacity/SelfDrivingCarEngineering/week09/001.projectbehvclone/project/data/IMG/left_2018_08_06_22_28_11_006.jpg,/home/yunwu/Udacity/SelfDrivingCarEngineering/week09/001.projectbehvclone/project/data/IMG/right_2018_08_06_22_28_11_006.jpg,0,0,0,2.629076E-06
/home/yunwu/Udacity/SelfDrivingCarEngineering/week09/001.projectbehvclone/project/data/IMG/center_2018_08_06_22_28_11_075.jpg,/home/yunwu/Udacity/SelfDrivingCarEngineering/week09/001.projectbehvclone/project/data/IMG/left_2018_08_06_22_28_11_075.jpg,/home/yunwu/Udacity/SelfDrivingCarEngineering/week09/001.projectbehvclone/project/data/IMG/right_2018_08_06_22_28_11_075.jpg,0,0,0,4.291507E-07
/home/yunwu/Udacity/SelfDrivingCarEngineering/week09/001.projectbehvclone/project/data/IMG/center_2018_08_06_22_28_11_144.jpg,/home/yunwu/Udacity/SelfDrivingCarEngineering/week09/001.projectbehvclone/project/data/IMG/left_2018_08_06_22_28_11_144.jpg,/home/yunwu/Udacity/SelfDrivingCarEngineering/week09/001.projectbehvclone/project/data/IMG/right_2018_08_06_22_28_11_144.jpg,0,0,0,7.999088E-07
/home/yunwu/Udacity/SelfDrivingCarEngineering/week09/001.projectbehvclone/project/data/IMG/center_2018_08_06_22_28_11_214.jpg,/home/yunwu/Udacity/SelfDrivingCarEngineering/week09/001.projectbehvclone/project/data/IMG/left_2018_08_06_22_28_11_214.jpg,/home/yunwu/Udacity/SelfDrivingCarEngineering/week09/001.projectbehvclone/project/data/IMG/right_2018_08_06_22_28_11_214.jpg,0,0,0,1.386491E-06
/home/yunwu/Udacity/SelfDrivingCarEngineering/week09/001.projectbehvclone/project/data/IMG/center_2018_08_06_22_28_11_287.jpg,/home/yunwu/Udacity/SelfDrivingCarEngineering/week09/001.projectbehvclone/project/data/IMG/left_2018_08_06_22_28_11_287.jpg,/home/yunwu/Udacity/SelfDrivingCarEngineering/week09/001.projectbehvclone/project/data/IMG/right_2018_08_06_22_28_11_287.jpg,0,0,0,2.11209E-06
